"Colchicum_autumnale_M2__P_1"	"Colchicum_autumnale_M2__P_2"	"Colchicum_autumnale_M2__P_3"	"Colchicum_autumnale_M2__P_4"	"Colchicum_autumnale_M2__P_5"	"Colchicum_autumnale_M2__P_6"	"Colchicum_autumnale_M2__P_7"	"Colchicum_autumnale_M2__P_8"	"Colchicum_autumnale_M2__P_9"	"Colchicum_autumnale_M2__P_10"	"Colchicum_autumnale_M2__P_11"	"Colchicum_autumnale_M2__P_12"	"Colchicum_autumnale_M2__P_13"	"Colchicum_autumnale_M2__P_14"	"Colchicum_autumnale_M2__P_15"	"Colchicum_autumnale_M2__P_16"	"Filipendula_ulmaria_M2__P_1"	"Filipendula_ulmaria_M2__P_2"	"Filipendula_ulmaria_M2__P_3"	"Trifolium_pratense_M2__P_1"	"Trifolium_pratense_M2__P_2"	"Trifolium_pratense_M2__P_3"	"Trifolium_pratense_M2__P_4"	"Trifolium_pratense_M2__P_5"	"Trifolium_pratense_M2__P_6"	"Malva_alcea_M2__P_1"	"Malva_alcea_M2__P_2"	"Malva_alcea_M2__P_3"	"Malva_alcea_M2__P_4"	"Malva_alcea_M2__P_5"	"Malva_alcea_M2__P_6"	"Malva_alcea_M2__P_7"
29.33	23.44	45.78	73.91	36.44	19.99	-6.27	15.43	46.14	24.73	15.65	81.46	17.01	45.62	74.23	66.63	25.59	18.9	33.41	17.48	-3.78	18.88	29.77	-7.69	54.24	71.72	63.1	13.44	55.6	60.99	58.1	37.06
18.33	30.03	57.4	82.28	66.89	33.18	18.4	36.47	55.18	18.49	10.74	66.7	21.24	34.99	73.83	65.13	7.41	23.48	34.91	25.33	16.1	30.79	23.51	18.84	35.58	42.3	53.84	36.12	42.41	60.71	57.59	22.35
-5.45	4.13	31.53	82.46	68.93	26.09	-15.9	-29.92	109.36	16.27	-22.62	73.35	20.08	47.75	58.23	65.71	60.7	-31.53	-5.13	-27.8	-16.76	-10.06	13.07	17.93	11.82	30.92	40.67	-0.71	25.6	49.8	16.56	24.35
14.89	41.79	46.62	52.88	65.78	34.96	28	-2.65	78.47	32.42	22	54.64	17.02	34.15	49.9	56.8	57.07	-0.39	41.86	8.44	22.92	23.63	27.11	6.15	31.42	43.52	32.52	25.22	36.97	51.83	44.95	28
21.5	20.15	39.94	82.74	63.08	30.32	14.9	-7.05	61.95	21.15	22.01	54.26	14.67	37.34	68.42	87.22	37.13	14.65	42.95	9.6	17.07	28.47	22.34	30.6	15.87	46.96	34.84	45.49	43.59	48.02	17.63	24.78
71.73	59.18	33.55	88.53	55.88	18.22	12.49	-9.31	90.54	-0.11	41.05	99.94	40.24	46.68	86.76	106.86	57.05	9.24	58.39	59.28	35.15	43.45	19.9	47.47	34.89	38.69	38.38	49.63	60.64	54.72	52.93	34.03
34.92	12.82	27.15	85.09	85.21	7.23	3.43	-6.17	85.36	51.06	22.64	92.96	27.38	56.23	99.04	82.47	21.38	-14.52	11.26	-5.03	8.68	25.68	31.72	-5.36	11.05	47.57	16.31	23.33	37.39	66.62	18.07	40.32
50.83	41.39	20.67	75.56	27.77	25.21	-8.7	4.37	98.39	16.93	27.17	98.89	12.07	31.18	69.44	61.22	28.28	13.65	47.59	15.93	-5.29	2.19	41.35	35.08	-3.39	25.84	28.48	20	27.27	50.4	35.48	34.94
33.12	33.95	44.7	77.4	58.92	40.43	33.89	25.83	75.45	34.92	26.23	85.19	34.62	69.59	54.3	73.38	44.14	23.65	27.36	30.22	0.03	69.84	39.64	24.74	42.93	38.14	49.32	20.77	63.71	46.31	34.86	36.51
32.87	17.88	40.89	80.09	51.07	34.25	12.27	35.27	64.79	39.44	27.86	85.6	27.36	49.6	54.41	54.61	36.87	27.17	25.3	25.12	35.04	20.34	35.27	49.72	23.39	51.74	45.44	54.44	64.56	44.79	33.29	33.46
59.64	47.07	78.75	68.1	63.41	38.93	34.85	-1.29	125.98	29.57	44.97	76.49	43.62	44.14	80.54	65.31	58.87	37.95	56.76	36.98	13.88	57.15	46.47	10.14	16.18	60.51	32.8	32.55	26.14	48.45	60.01	46.15
41.36	21	41.28	74.34	49.78	15.61	20.32	1.14	50.91	33.54	35.11	34.81	29.73	40.76	64.11	51.61	34.52	29.09	36.73	7.28	16.11	36.6	13.66	43.83	23.02	31.56	48.04	39.92	30.38	43.32	14.49	43.71
31.7	28.38	37.94	64.07	36.19	21.26	24.08	13.37	49.04	34.7	28.31	42.89	23.58	42.97	53.67	55.23	42.48	22.03	29.12	15.31	21.15	17.93	24.61	12.25	33.1	43.3	39.71	29.68	52.4	53.24	46.92	41.8
45.9	45.05	36.34	81.34	76.33	38.79	27.27	17.1	70.85	47.5	24.07	71.55	60.3	50.3	68.22	87.68	31.64	26.3	25.95	26.68	20.91	37.21	20.5	18.66	27.01	51.26	30.61	32.09	47.95	51.09	57.88	38.92
28.89	12.63	27.66	72.98	62.83	34.73	7.12	0.55	62.93	19.47	21.63	74.27	13.5	41.19	44.33	69.82	33.03	-17.21	10.66	25.66	2.53	10.97	43.98	33.39	17.33	22.76	18.88	30.73	40.13	37.38	35.1	34.85
52.97	27.8	35.02	57.31	45.41	28.06	5.95	21.02	103.26	58.32	28.36	74.24	21.66	36	71.92	48.19	51.5	14.02	37.02	17.84	29.01	32.74	28.21	32.44	22.72	46.01	42.07	38.83	39.99	52.4	26.45	29.05
40.25	52.28	13.87	46.53	69.99	25.12	31.76	30.44	57.95	26.22	13.07	72.98	9.97	59.61	48.1	53.3	30.64	15.13	46.28	15.93	26.55	37.82	24.15	35.49	29.05	40.26	50.81	23.19	66.65	61.69	39.65	42.78
