"Sinapis_arvensis_D2__P_1"	"Sinapis_arvensis_D2__P_2"	"Sinapis_arvensis_D2__P_3"	"Sinapis_arvensis_D2__P_4"	"Sinapis_arvensis_D2__P_5"	"Sinapis_arvensis_D2__P_6"	"Sinapis_arvensis_D2__P_7"	"Sinapis_arvensis_D2__P_8"	"Buddleja_davidii_D2__P_1"	"Buddleja_davidii_D2__P_2"	"Buddleja_davidii_D2__P_3"	"Buddleja_davidii_D2__P_4"	"Buddleja_davidii_D2__P_5"	"Buddleja_davidii_D2__P_6"	"Buddleja_davidii_D2__P_7"	"Buddleja_davidii_D2__P_8"	"Buddleja_davidii_D2__P_9"	"Buddleja_davidii_D2__P_10"	"Buddleja_davidii_D2__P_11"	"Buddleja_davidii_D2__P_12"	"Buddleja_davidii_D2__P_13"	"Buddleja_davidii_D2__P_14"
34.66	48.68	35.16	26.89	35.11	22.27	24.96	19.25	40.45	25.16	52.07	20.1	32.41	30.78	24.77	12.51	9.01	23.33	31.12	28.34	19.34	38.85
33	37.04	30.29	46.82	39.1	19.29	27.38	39.61	30.99	33.61	23.58	23.1	29.19	19.18	12.8	7.41	25.21	23.6	45.68	29.81	27.23	31.65
25.69	36.88	8.31	32.55	25.73	27.51	5.84	14.3	14.18	10.88	19.58	14.35	10.12	-1.16	11.09	21.39	13.94	18.25	27.89	46.57	18.08	16.14
46.05	30.19	20.36	28.33	35.5	15.13	27.41	17.13	26.21	29.61	27.97	-5.61	20.02	-10.6	11.02	3.24	11.96	-0.2	32.73	35.97	26.62	10.22
22.72	26.88	11.39	16.81	23.64	26.3	21.97	21.03	3.7	32.17	18.25	5.96	-9.64	15.99	-4.72	11.63	10.86	10.37	35.79	16.49	25.85	16.89
32.84	21.86	22.18	28.25	39.88	26.1	22.77	21.8	24.2	14.17	31.51	17.91	18.3	35.12	15.43	13.29	27.56	3.05	42.41	50.86	19.91	25.11
31.58	49.89	21.62	28.95	38.01	27.4	29.02	12.9	19.54	27.86	34.01	29.96	14.14	19.72	15.3	7.19	8.67	5.22	33.59	32.46	26.9	15.11
35.32	22.7	8.59	27.33	10.8	27.33	9.2	28.64	22.71	27.77	37.12	17.43	23.09	9.19	16.72	23.29	9.53	2.63	34.64	29.24	35.85	0.21
28.37	26.33	18.97	27.26	11.99	36.76	8.33	9.04	38.02	23.57	29.27	13.25	13.68	15.05	14.87	10.33	7.88	1.39	54.38	24.92	25.76	1.21
33.58	48.65	37.31	45.52	43.58	34.22	23.57	10.67	50.38	44.25	43.26	16.84	22.82	33.33	32.97	5.97	38.84	17.05	41.12	35.03	42.93	45.22
38.31	30.64	15.39	36.32	9.57	20.43	13.84	-0.53	26.73	33.18	20.01	18.18	9.93	28.79	8.55	15.71	-0.73	12.21	41.16	39.36	12.93	24.68
12.51	37.94	14.82	16.8	30.43	20.01	30.33	17.6	17.68	19.49	36.91	11.23	14.28	21.88	21.51	-0.36	-5.86	10.44	34.47	33.5	15.68	15.08
47.78	64.79	54.31	43.49	40.86	15.1	31.54	31.47	41.64	40.59	46.66	21.06	33.29	17.07	30.85	25.64	29.06	25.95	55.68	47.18	35.21	41.13
33.45	40.15	26.2	35.12	2.5	12.06	37.38	17.03	18.5	26.65	38.34	6.15	20.7	34.78	15.13	14.15	9.7	17.69	51.42	26.21	26.86	12.35
