"Malva_sylvestris_H2__P_1"	"Malva_sylvestris_H2__P_2"	"Malva_sylvestris_H2__P_3"	"Malva_sylvestris_H2__P_4"
44.02	20.35	42.69	29.35
45.15	20.65	43.1	30.51
44.66	21.03	43.03	29.77
45.08	21.24	43.63	29.85
45.57	21.86	43.66	30.45
47.13	22.08	45.43	30.94
47.81	22.13	45.53	31.83
48.23	23.13	45.55	31.46
49.52	23.93	47.32	32.07
49.13	23.39	46.99	33
50.37	24.94	47.45	33.26
50.88	24.98	49.25	33.62
51.02	25.09	48.35	34.18
52.62	25.66	49.26	34.5
52.79	26.42	49.36	34.62
52.62	26.19	49.66	34.8
53.36	26.26	49.23	35.67
53.64	26.75	50.09	35.65
53.97	28.11	50.56	35.5
55.08	28.4	51.35	36.16
54.49	27.33	51	36.23
55.24	28.43	51.55	36.59
55.7	28.77	52.7	37.66
56.79	30.14	53.96	38.26
58.34	30.67	54.48	39.14
58.55	30.75	54.33	37.8
59.38	31.27	54.55	38.84
59.74	31.74	55.55	39.32
59.76	31.9	55.89	39.35
61.13	32.04	56.58	39.66
61.3	32.92	56.52	40.76
62.52	33.74	56.55	40.51
62.82	34.54	57.24	41.56
63.98	34.41	58.49	41.55
63.57	34.7	58.37	41.82
64.27	34.97	58.08	41.76
64.18	35.09	58.72	42.07
65.77	35.43	59.94	43.21
65.94	36.35	59.48	43.39
66.03	36.89	60.61	43.62
67.11	37.87	60.6	43.93
67.78	38.07	61.57	44.23
68.99	38.77	61.42	44.31
68.55	39.09	62.08	44.23
69.55	39	62.21	45.19
70.35	40.32	64.32	45.79
70.77	39.89	63.86	46.19
69.83	40.11	63.34	46.06
70.34	40.26	63.61	46.14
71.13	40.99	63.19	45.77
72.16	41.38	64.3	46.88
72.77	42.52	64.98	47.27
73.19	43.18	66.73	47.37
73.35	43.25	65.88	48
73.76	42.97	65.23	47.65
74.02	43.24	65.68	47.89
73.28	43.86	66.1	48.11
75.26	44.32	66.18	48.56
75.17	44.21	66.25	48.62
74.63	44.47	65.93	48.48
75.7	44.66	66.11	48.72
76.51	45.95	67.92	49.65
77.6	47	68.48	49.96
78.06	47.09	68.18	49.91
78.07	47.06	69.1	50.19
78.83	47.46	69.08	50.81
78.5	46.91	68.49	50.01
78.17	47.98	69.27	51.19
78.77	48.1	68.75	50.89
80.49	49.57	70.51	51.03
81.37	49.26	70.68	51.16
82.96	50.47	71.81	52.9
81.88	50.58	71.73	52.1
82.73	49.54	71.07	51.75
81.69	50.42	71.22	52.37
83.66	51.31	71.95	52.77
81.96	50.92	71.62	52.75
82.34	50.83	71.88	52.49
83.1	51.23	71.72	53.17
83.96	52.28	72.25	53.26
83.17	51.34	71.78	52.61
84.13	52.5	72.55	53.6
83.95	51.89	72.16	53.43
84.57	53.54	73.48	54.3
84.99	53.18	73.39	54.21
86.26	54.33	73.63	53.51
85.75	53.75	73.31	54.19
85.47	53.79	73.64	54.27
85.57	53.57	73.63	53.91
84.6	53.84	73.46	54.06
85.19	53.29	73.74	53.92
85.19	54.76	72.83	54.24
84.65	54.07	72.79	53.73
84.52	53.87	72.78	53.52
84.46	54.44	72.92	53.67
84.34	54.5	72.98	54.02
84.33	54.47	73.88	54.59
86.15	54.9	73.82	54.27
85.79	55.38	74.63	54.97
86.63	55.05	74.71	54.7
86.74	55.73	74.67	55.14
88.01	56.02	75.32	55.81
88.25	56.54	75.67	55.57
88.07	57.02	76.01	55.5
89.13	56.71	75.55	56.13
88.56	57.61	75.89	56.08
88.21	57.55	75	56.18
89.38	57.25	75.5	55.92
87.53	55.73	74.7	55.44
86.83	56.61	74.76	55.75
87.57	57.49	75.7	55.61
86.84	57.03	74.64	56.3
87.1	57.01	74.99	55.27
88.51	57.52	75.86	56.21
89.46	58.26	76.83	57.01
89.66	58.54	76.73	55.96
87.49	57.94	75.56	55.55
89.31	57.92	75.44	55.83
89.38	58.6	77.06	56.15
88.3	57.86	75.44	55.86
88.64	58.2	76.99	56.9
88.32	58.05	74.97	55.15
87.97	57.44	75.5	55.7
88.32	57.63	75.34	56.72
87.93	57.77	74.78	55.76
87.43	57.59	74.48	55.46
86.69	56.92	73.83	54.88
86.5	57.26	74.09	54.87
87.01	56.79	74.39	55.23
87.15	57.97	74.71	55.56
87.07	57.47	74.13	55.49
85.91	56.89	74.03	54.79
85.26	56.06	73.07	54.39
85.52	56.23	72.98	54.22
86	56.92	73.28	54.34
85.77	56.68	73.39	54.49
86.04	57.25	73.7	54.63
85.37	56.86	73.37	54.31
85.27	56.82	73.21	54.59
85.54	56.38	72.71	54.28
84.25	55.96	72.19	53.47
84.26	56.1	72.43	54.11
85.56	56.77	73.47	54.3
86.4	57.11	73.75	54.43
87.08	56.84	73.43	54.34
86.7	57.09	73.13	54.06
86.11	56.97	73.32	54.14
86.06	56.73	72.82	53.57
85.17	56.54	72.65	53.97
84.54	56.28	72.36	53.83
84.92	56.25	72.98	54.49
85.82	56.61	73.44	54.31
86.18	57.32	73.69	54.23
86.69	57.62	74.36	54.94
86.63	57.44	73.16	54.29
87.4	57.37	74.35	54.53
87.33	58.51	74.46	55.3
87.59	58.12	74.43	54.9
88.41	58.99	74.82	55.19
88.08	58.91	75.21	55.87
87.98	58.74	75.39	55.46
86.78	58.62	75.11	55.28
87.09	58.69	74.13	55.35
86.62	58.28	74.67	55.05
86.66	58.5	74.24	54.42
87.51	58.79	74.3	54.72
86.9	58.44	74.14	55.21
87.03	58.59	74.88	55.19
86.65	57.59	74.16	54.79
86.25	57.6	73.83	54.65
86.95	58.26	73.6	54.8
85.55	57.55	73.41	54.11
84.93	57.3	72.94	53.31
85.02	57.11	73.02	53.69
84.57	56.96	72.78	53.46
84.73	56.91	72.93	53.5
85.18	57.62	73.38	54.17
86.32	57.56	73.73	54.25
86.77	58.25	74.78	54.69
87.22	58.22	75.06	54.74
86.53	57.98	74.51	54.39
87.23	58.63	74.3	55.14
86.81	57.92	73.72	53.99
86.98	58.49	74.36	54.96
86.17	58.4	73.29	54.03
85.93	57.83	73.8	53.72
84.65	57.63	73.15	53.49
85.56	57.56	73.15	53.39
85.7	57.95	73.49	53.94
84.7	57.2	73.13	54.19
84.23	56.65	72.17	53.6
84.4	56.72	72.84	52.82
83.19	56.57	72.02	52.95
84.28	56.57	72.88	53.36
83.46	56.4	71.94	52.37
84.31	56.43	72.64	53.05
83.66	56.68	72.27	52.33
84.65	57.37	72.89	53.51
84.79	57.54	72.58	53.76
85.47	57.41	72.82	52.82
85.87	58.31	74.29	53.54
85.88	57.77	73.12	53.36
85.43	57.72	73.52	53.47
84.9	57.93	73.46	53.14
84.45	57.48	72.32	52.95
84.08	57.15	71.99	52.34
83.54	56.47	72.47	52.41
82.68	55.83	71.29	51.89
82.07	55.62	70.86	52.02
82.11	55.24	71.22	51.75
81.97	56.03	70.83	51.76
82.39	55.81	71.36	51.46
82.74	56.04	71.43	52.07
83.32	56.84	71.77	52.15
84.41	57.49	72.62	52.81
84.35	57.08	72.85	52.55
85.22	57.44	73.22	52.93
83.97	57.07	72.94	52.53
84.7	57.44	72.76	52.41
84.58	57.2	73.06	52.38
85.09	57.67	72.44	53.09
85.04	57.8	73.13	52.8
85.36	57.85	73.27	52.86
85.02	58.06	72.57	52.28
83.99	57.72	72.33	52.61
83.55	57.23	72.99	52.05
83.66	57.05	72.02	52.05
81.91	55.58	70.98	51.05
82.07	56.16	71.69	51.18
82.7	56.55	71.71	51.7
83.24	56.81	72.33	52.01
83.89	56.95	72.04	52.03
82.54	56.7	71.74	51.4
83.04	57.01	72.15	50.99
83.3	57.12	71.47	51.11
83.24	57.42	72.11	51.48
82.71	57.16	72.54	51.79
83.55	57.36	72.97	51.63
84.11	57.44	72.52	52.03
83.39	57.2	72.46	51.37
82.14	56.62	71.69	50.91
82.57	56.13	71.48	50.88
82.2	56.34	70.88	50.84
81.86	56.14	71.14	50.79
81.02	56.1	70.66	50.92
80.7	55.28	69.87	50.2
79.43	54.66	69.49	49.59
78.67	54.15	68.33	48.89
78.12	53.91	68.56	48.96
78.48	54.01	68.92	48.74
79.42	54.11	68.64	48.69
80.4	55.48	70.36	49.52
81.79	56.24	70.37	49.55
82.08	55.95	71.32	50.16
82.68	56.77	71.76	49.77
82.86	56.36	71.81	49.96
83.03	57.09	71.66	50.05
83.74	57	71.9	50.44
81.43	56.15	71.29	50.02
81.44	56	71.22	49.16
81.28	56.84	71.2	49.95
80.57	56.61	70.55	49.25
78.94	55.52	70.06	49.19
79.54	55.19	69.43	48.92
80.47	55.43	70.08	48.84
80.29	55.44	70.15	49.14
79.69	55.36	70.06	48.66
80.37	55.37	69.97	48.54
80.15	55.44	70.17	48.46
79.81	55.09	70.02	48.21
80.51	55.89	71.52	48.64
80.02	55.96	70.68	48.36
79.68	55.72	70.76	48.28
80.66	56.12	70.71	48.41
80.61	55.88	71.23	48.49
79.14	55.4	69.78	47.88
79.29	55.22	70.34	47.87
79.22	54.79	69.35	47.47
78.37	55.26	69.96	47.49
78.39	55.17	69.84	47
78.06	54.29	69.17	46.72
79.04	54.62	69.19	46.85
77.85	54.13	68.44	46.6
78.06	54.7	69.12	46.46
77.02	54.07	68.77	46.45
77.09	54.01	69.03	46.26
77.63	54.43	68.93	46.29
78.03	54.73	69.06	46.41
77.03	54.43	68.77	45.95
77.4	54.07	68.56	45.73
76.44	53.95	68.05	45.64
76.96	53.91	68	45.5
76.14	53.39	67.66	45.33
75.31	53.27	66.85	44.96
74.09	52.61	65.98	44.2
74.34	52.06	65.94	43.95
73.69	52.03	66.15	44.16
73.07	51.67	65.62	43.31
73.64	51.67	65.51	43.42
73.14	50.45	64.31	43.29
72.91	51.12	64.86	42.82
72.26	50.93	65.25	43.02
72.45	50.93	64.59	42.77
72.75	51.5	65.58	42.67
72.5	51.55	64.62	42.64
72.8	50.61	64.05	42.33
71.93	50.9	64.03	41.59
71.52	50.57	64.04	41.22
71.61	50.45	63.78	41.21
70.85	50.04	63.73	41.02
69.68	49.53	62.68	40.91
68.02	48.58	62.09	39.89
67.83	48.07	60.96	39.48
67.05	47.76	60.34	39.16
65.42	46.51	58.51	38.45
64	45.48	57.7	37.53
63.28	45.25	57.13	37.55
65.44	46.95	59.14	38.94
68.43	49.14	62.21	40.5
68.53	49.31	62.08	40.15
68.71	48.83	61.84	39.29
68.77	48.79	61.87	38.97
68.55	48.54	61.4	38.49
67.27	47.87	60.11	37.68
65.77	47.08	59.35	37.2
64.12	45.94	57.79	36.63
62.27	44.72	56.44	35.97
61.66	44.6	55.99	35.82
62.13	44.54	56.42	35.89
62.61	45.08	57.23	36.05
63.23	45.61	57.47	36.2
63.77	45.96	57.72	36.19
64.37	46.27	58.45	36.21
65.15	46.39	58.62	36.09
