"Senecio_inaequidens_E__P_1"	"Senecio_inaequidens_E__P_2"	"Senecio_inaequidens_E__P_3"	"Senecio_inaequidens_E__P_4"	"Origanum_vulgare_E__P_1"	"Origanum_vulgare_E__P_2"	"Origanum_vulgare_E__P_3"	"Origanum_vulgare_E__P_4"	"Reynoutria_japonica_E__P_1"	"Reynoutria_japonica_E__P_2"	"Reynoutria_japonica_E__P_3"	"Reynoutria_japonica_E__P_4"
9.21	10.92	7.3	6.62	37.2	18.27	14.58	18.47	5.27	8.52	10.95	6.2
9.74	10.66	8.07	6.78	37.46	18.15	14.79	19.18	6.09	8.49	10.68	5.68
9.41	10.3	7.73	7.37	37.33	18.25	14.4	18.54	5.5	8.45	10.41	6.19
8.12	9.3	7.19	6.4	36.46	17.13	13.97	18.44	5.22	7.24	10.27	5.66
8.92	8.88	7	5.62	36.17	17.4	13.79	18.31	5.35	8.01	9.76	5.76
8.57	8.53	6.63	5.13	35.33	16.28	13.16	17.85	5.23	7.34	8.94	5.04
8.09	7.49	6.23	4.6	34.93	15.58	13.25	17.51	4.82	6.47	8.78	4.61
7.73	6.54	5.95	3.86	34.69	15.51	12.98	16.77	4.56	6.3	8.11	4.4
7.46	6.39	5.92	4.11	33.96	14.98	12.81	16.69	4.58	6.25	7.95	4.47
7.19	5.89	5.61	3.41	33.65	14.28	12.4	15.81	4.25	6.12	7.63	4.23
6.99	5.38	5.46	3.35	33.03	13.97	12.29	15.85	4.42	6.07	7.26	4
6.87	5.26	5.28	3.09	33.05	13.74	12.24	15.79	4.11	5.91	7.08	3.81
6.91	5.38	5.51	3.3	33.38	14.01	12.37	15.66	4.14	5.84	7.18	3.98
7.18	5.64	5.55	3.39	33.9	14.18	12.43	16.11	4.25	6.05	7.4	4.16
7.17	5.83	5.57	3.78	34.34	14.82	12.85	16.51	4.41	6.3	7.82	4.32
7.65	6.47	5.8	3.92	34.31	15	12.81	16.71	4.61	6.42	8.05	4.6
7.89	7.04	6.17	4.47	34.67	15.67	13.42	17.13	4.97	6.83	8.62	4.88
7.79	7.5	6.15	4.44	35.31	15.91	13.31	17.5	4.97	6.71	8.84	4.96
7.68	7.09	5.83	4.13	34.5	15.41	12.83	16.21	4.58	6.97	8.35	4.61
7.11	6.35	5.56	4.1	33.73	15.05	12.35	16.61	4.51	6.39	8.33	4.7
6.59	5.79	5.09	3.69	33	14.25	12.29	15.76	4.52	6.09	7.53	4.23
6.34	5.03	4.72	2.99	32.49	13.69	11.96	15.17	4.06	5.68	6.89	3.72
5.97	4.65	4.55	2.74	31.91	12.97	11.62	14.84	3.88	5.51	6.62	3.71
5.86	4.49	4.43	2.6	32.32	13.01	11.64	15.05	3.82	5.44	6.54	3.59
5.9	4.61	4.43	2.64	32.57	13.02	11.77	15.14	3.89	5.51	6.63	3.65
5.95	4.7	4.43	2.77	32.78	13.35	11.85	15.33	4.02	5.58	6.79	3.89
6.01	4.8	4.55	2.92	32.54	13.83	11.85	15.36	4.02	5.69	6.97	3.84
6.08	5.21	4.72	3.02	32.62	13.81	12.06	15.53	4.05	5.82	7.01	3.84
6.03	5.38	4.66	3.11	32.81	13.74	11.99	15.31	4.08	6	7.2	4.05
6.2	5.69	4.72	3.3	33.03	14.33	12.12	15.93	4.28	6.02	7.34	4.24
6.43	6.24	5.05	3.64	33.68	14.89	12.46	16.46	4.54	6.32	7.9	4.39
6.38	6.81	5.05	3.78	33.75	15.09	12.54	16.37	4.43	6.48	7.93	4.51
6.67	7.09	5.09	4.24	34.09	15.48	12.74	17.02	4.62	6.56	8.32	4.52
6.59	7.26	5.13	4.23	33.78	15.3	12.69	16.83	4.54	6.82	8.37	4.68
6.29	6.8	4.63	3.94	32.78	14.89	12.53	16.14	4.49	6.45	8.08	4.36
5.97	6.21	4.38	3.35	32.36	14.06	11.96	15.43	4.35	6.01	7.46	4.13
5.72	6.06	4.41	3.37	32.19	13.87	12.02	15.23	4.22	5.77	7.05	3.99
5.63	5.65	4.31	3.13	31.98	13.51	11.78	15.06	4.03	5.58	7.03	4.07
5.58	6.11	4.37	3.22	32.42	14.01	12.03	15.43	4.22	5.73	7.18	4.11
5.79	6.63	4.42	3.52	32.86	14.61	12.11	16.01	4.43	6.32	7.88	4.28
6.37	7.27	4.88	4.09	33.41	15.16	12.56	16.45	4.77	6.59	8.46	4.77
6.23	7.77	4.9	4.22	33.37	15.69	12.61	16.54	4.76	6.55	8.65	4.96
6.38	8.14	4.88	4.33	33.45	15.68	12.92	16.38	4.62	6.85	9.06	4.94
6.55	8.46	5.02	4.64	33.07	15.88	13.05	16.96	4.97	6.97	8.86	5.14
6.51	8.5	5.02	4.62	33.82	15.65	13	16.45	4.83	6.75	8.88	4.79
6.39	8.52	5.1	4.74	33.49	15.71	13.02	16.77	4.72	6.83	9.01	5.07
6.28	8.47	5.01	4.89	33.79	15.62	12.78	16.78	4.9	7.09	8.91	4.85
6.24	8.61	4.94	4.52	33.51	15.75	12.67	16.66	4.7	6.88	9.03	5.01
6.02	7.94	4.54	4.23	32.58	15.1	12.77	16.09	4.69	6.56	8.5	4.56
5.58	7.59	4.24	4.08	32.46	14.89	12.28	16.09	4.49	6.38	8.03	4.48
5.52	7.1	4.25	3.9	32.15	14.58	12.08	15.44	4.36	6.1	7.9	4.43
5.47	7.54	4.09	4.02	32.41	14.66	12.21	15.7	4.23	6.16	7.89	4.3
5.29	7.26	3.91	3.65	32.28	14.39	12.09	15.3	4.19	5.94	7.64	4.22
4.98	7.01	3.94	3.76	31.66	14.24	11.98	15.27	4.24	6.03	7.7	4.33
4.76	6.28	3.52	3.16	31.09	13.66	11.56	14.91	3.95	5.65	6.91	3.9
4.63	5.98	3.45	2.92	31	13.39	11.45	14.61	3.88	5.46	6.75	3.81
4.46	5.67	3.22	2.74	30.54	12.95	11.35	14.39	3.78	5.33	6.32	3.67
4.34	5.58	3.09	2.54	31	12.91	11.34	14.39	3.68	5.23	6.26	3.53
4.39	5.61	3.19	2.58	31.69	13.12	11.49	14.84	3.71	5.34	6.32	3.67
4.38	5.73	3.18	2.69	31.52	13.19	11.42	14.72	3.77	5.39	6.58	3.76
4.43	5.98	3.28	2.89	31.47	13.57	11.47	14.89	3.86	5.46	6.76	3.82
4.76	6.55	3.5	3.28	31.67	13.95	11.91	15.2	4.01	5.78	7.24	4.05
4.98	6.96	3.65	3.59	31.83	14.35	12.1	15.45	4.12	6.11	7.38	4.18
4.87	7.02	3.59	3.37	31.06	14.04	11.92	15.04	4.22	5.75	7.37	4.04
4.94	6.91	3.72	3.39	31.55	13.73	11.88	15.12	4.11	5.84	7.32	4.15
4.8	6.81	3.51	3.33	30.95	13.78	11.82	15.04	3.89	5.89	7.29	4.09
5.12	7.18	3.58	3.63	31.54	14.21	11.9	15.26	4.09	5.73	7.46	4.21
4.9	7.23	3.6	3.62	31.84	14.16	11.74	15.63	3.99	5.97	7.71	4.05
5.02	7.46	3.96	4.07	31.97	14.72	12.11	15.53	4.38	6.19	8.05	4.44
5.28	7.77	3.79	3.77	32.16	14.44	11.83	15.51	4.27	6.01	8.01	4.42
5.5	7.77	4.13	4.08	32.03	14.77	12.23	15.75	4.49	6.45	8.22	4.61
5.18	7.48	3.83	3.92	31.45	14.38	12.13	15.5	4.35	6.1	7.96	4.37
5.01	7.27	3.72	3.76	31.05	14.18	11.88	15.38	4.17	5.82	7.72	4.26
4.62	7.07	3.38	3.43	30.71	13.66	11.7	14.77	4.04	5.87	7.28	4.09
4.77	6.74	3.37	3.32	30.38	13.5	11.7	14.97	4.01	5.65	6.95	4.04
4.5	6.5	3.39	3.31	30.31	13.4	11.44	14.83	3.94	5.56	7.07	4.01
4.6	6.44	3.4	3.27	30.26	13.37	11.29	14.48	3.86	5.56	7.07	3.88
4.66	6.58	3.32	3.18	30.31	13.54	11.46	14.54	3.86	5.5	7.02	3.89
4.54	6.48	3.29	3.15	30.11	13.29	11.36	14.49	3.82	5.5	7.06	3.77
4.57	6.59	3.31	3.26	30.47	13.51	11.63	14.71	3.97	5.62	7.17	4.07
4.51	6.59	3.3	3.33	30.27	13.58	11.45	14.73	3.88	5.7	7.15	4.03
4.7	6.81	3.45	3.52	30.58	13.94	11.69	15.03	4.09	5.79	7.3	4.29
4.69	6.85	3.58	3.56	30.55	13.71	11.7	14.97	4.06	5.83	7.29	4.12
4.99	7.05	3.5	3.8	30.73	14.06	11.74	15.04	4.13	6.06	7.28	4.28
4.57	6.52	3.5	3.31	30.33	13.44	11.47	14.58	3.86	5.75	7.11	4.19
4.65	6.64	3.33	3.38	30.22	13.31	11.56	14.6	3.79	5.61	7.01	4.07
4.74	6.43	3.51	3.3	29.88	13.34	11.33	14.37	3.93	5.6	7.09	3.91
4.52	6.23	3.25	3.02	29.59	12.95	11.44	14.17	3.77	5.44	6.76	3.98
4.52	6.17	3.25	3.11	29.81	12.88	11.33	14.28	3.76	5.31	6.47	3.85
4.45	5.98	3.26	2.97	29.81	13.07	11.16	14.3	3.89	5.43	6.66	3.89
4.42	6.04	3.16	3.02	29.77	13.01	11.04	14.27	3.64	5.26	6.63	3.89
4.66	6.17	3.39	3.09	29.59	12.99	11.12	14.13	3.75	5.31	6.72	3.86
4.65	6.18	3.44	3.09	29.59	12.85	11.21	14.12	3.81	5.44	6.8	3.95
4.6	6.19	3.34	3.06	29.69	12.91	10.97	14.1	3.78	5.26	6.66	3.89
4.67	6.48	3.53	3.1	29.9	13.13	11.26	14.3	3.74	5.35	6.82	3.91
