"Agrimonia_eupatoria_G__P_1"	"Agrimonia_eupatoria_G__P_2"	"Trifolium_repens_G__P_1"	"Trifolium_repens_G__P_2"	"Trifolium_repens_G__P_3"	"Trifolium_pratense_G__P_1"	"Trifolium_pratense_G__P_2"	"Trifolium_pratense_G__P_3"
5.31	2.49	0.82	0.35	1.3	4.9	0.97	6.79
5.21	3.04	0.96	0.33	1.14	4.79	1.23	6.72
5.73	3.14	1.21	0.72	1.5	5.09	1.17	7.01
5.74	3.06	0.95	0.71	1.19	5.11	1.41	6.93
5.47	2.8	0.74	0.43	0.93	4.96	1.09	6.69
5.67	3.21	0.94	0.63	1.12	5.18	1.4	6.85
5.7	2.86	1.1	0.5	1.28	5.07	1.27	7.03
5.6	2.9	0.73	0.43	0.99	4.84	1.25	6.52
5.78	2.88	1.09	0.75	1.42	5.19	1.59	6.96
5.76	2.78	0.67	0.43	1.33	4.7	1.17	6.82
5.89	3.02	0.7	0.68	1.01	5.04	1.14	6.99
5.68	2.83	0.79	0.57	1.21	4.79	1.33	7.05
6	3.11	0.92	0.61	1.29	5	1.18	7.03
6.18	3.08	1.09	0.38	1.05	4.91	1.46	6.91
5.96	3.23	1.07	0.65	1.54	5.17	1.63	7.19
6.12	3	0.87	0.44	1.52	4.89	1.44	6.94
6.17	2.77	0.79	0.3	1.24	5.05	1.37	6.96
6.5	3.16	1.05	0.65	1.47	5.23	1.43	7.22
6.03	3.11	0.79	0.31	1.43	5.25	1.69	6.74
6.32	3.06	1.46	0.79	1.72	5.29	1.4	7.14
6.27	2.86	0.91	0.64	1.33	5.06	1.5	6.72
6.23	3.18	0.96	0.43	1.66	5.22	1.37	6.62
6.58	3.13	1.18	0.59	1.47	5.42	1.36	6.98
6.1	3.15	0.85	0.45	0.99	5.06	1.18	6.78
5.95	2.85	0.69	0.35	0.8	4.92	1.07	6.56
6.28	2.93	0.63	0.53	1.02	4.95	1.03	6.53
6.52	2.94	0.97	0.71	1.08	5.16	1.23	6.75
6.49	2.93	0.78	0.58	1.05	5.03	1.22	6.68
6.31	2.79	0.91	0.62	0.73	4.9	1.04	6.79
6.49	3.03	0.82	0.53	0.98	5	1.07	6.7
6.19	2.8	0.56	0.26	0.82	4.84	0.94	6.6
6.31	2.81	0.9	0.66	1.15	4.99	1.2	6.86
6.73	3.09	0.7	0.62	1.08	4.97	1.33	6.72
6.77	3.14	0.92	0.72	0.97	5.41	1.31	6.81
6.61	2.95	0.81	0.29	1.23	5.12	1.35	6.68
6.9	3.05	0.7	0.47	1.31	5.11	1.38	7.04
6.73	3.22	0.95	0.6	1.47	5.13	1.46	7.07
6.91	2.97	1.12	0.72	1.38	5.5	1.32	6.98
6.76	3.17	1.2	0.71	1.64	5.23	1.59	6.98
6.63	3.2	0.81	0.5	1.24	5.02	1.14	6.75
7.18	3.01	0.95	0.82	1.28	5.48	1.4	6.97
7.23	3.18	1.16	0.84	1.86	5.61	1.35	7.39
7.02	2.8	0.85	0.32	1.33	5.28	1.32	6.81
7.12	3.16	0.9	0.67	1.54	5.37	1.34	7.19
7.01	3.04	1.1	0.59	1.52	5.59	1.55	7.06
7.61	3.24	0.79	0.69	1.51	5.34	1.73	7.34
7.22	2.77	0.4	0.31	0.94	5.03	1.08	6.85
7.33	2.93	0.46	0.24	1.11	5.47	1.3	6.94
7.86	3.49	1.18	0.61	1.61	5.63	1.64	7.5
7.18	2.77	0.72	0	1.16	5.16	1.34	7.25
7.25	2.98	1.08	0.3	1.51	5.57	1.39	6.83
7.54	3.02	1.26	0.78	1.77	5.39	1.77	7.13
7.44	2.9	1	0.77	1.39	5.06	1.65	7.26
7.24	3.04	0.98	0.9	1.5	5.45	1.71	7.19
7.59	2.86	0.87	0.45	1.31	5.28	1.84	6.91
7.84	3.22	1.39	0.95	1.4	5.77	2.2	7.6
7.31	3.03	1.08	0.24	1.39	5.38	1.28	7.07
7.51	2.94	0.69	0.59	1.34	5.44	1.37	7.46
7.61	2.83	0.87	0.81	1.53	5.55	1.77	7.59
7.55	2.95	0.89	0.49	1.71	5.35	1.74	7.45
7.7	3.15	1.09	0.76	1.73	5.51	1.7	6.99
7.35	2.85	0.81	0.37	1.3	5.54	1.52	6.94
7.36	3.1	0.69	0.47	1.21	5.34	1.53	7.17
7.58	3.32	1.08	0.67	1.42	5.42	1.4	7.11
7.25	3.15	0.85	0.54	1.01	5.57	1.21	7.13
7.37	2.75	0.77	0.09	0.76	5.09	0.88	6.51
7.49	2.69	0.64	0.21	1.42	5.34	1.26	6.74
7.74	2.89	0.88	0.3	1.25	5.37	1.26	6.8
7.73	3.08	0.85	0.35	1.17	5.24	1.47	6.92
7.39	2.88	0.64	0.4	1.05	5.39	0.95	6.73
7.45	2.84	0.88	0.84	1.08	4.99	1.41	6.99
7.77	2.99	0.7	0.6	1.3	5.19	1.27	6.95
7.9	3.1	1.04	0.41	1.12	5.38	1.4	7
7.62	2.94	0.8	0.32	1.22	5.3	1.3	6.82
7.9	3.22	1.2	0.33	1.39	5.76	1.68	6.99
8.19	3.05	0.85	0.85	1.51	5.55	1.71	7.04
8.05	2.81	0.9	0.64	1.07	5.58	1.63	6.51
8.1	2.81	0.97	0.28	1.32	5.92	1.61	7.16
8.13	3.4	0.92	0.86	1.55	5.54	1.65	7.07
7.81	2.75	0.74	0.47	1.14	5.49	1.4	6.7
8.03	3.39	0.92	0.72	1.25	5.61	1.56	7.3
8.2	3.08	0.93	0.67	1.18	5.68	1.5	6.93
7.66	2.92	0.86	0.3	1.38	5.28	1.09	7.01
8.55	3.18	1.15	0.71	1.58	5.73	1.43	7.26
7.9	2.88	0.96	0.78	1.75	5.65	1.35	7.02
7.62	2.95	0.75	0.41	0.84	5.02	1.1	6.73
8.11	3.1	0.69	0.52	1.2	5.55	1.4	6.9
8.18	3.2	0.78	0.59	1.2	5.32	1.38	7
7.51	3.14	0.77	0.56	1.48	5.38	1.43	7.02
7.91	2.81	0.7	0.16	1.02	5.6	1.48	6.61
8.01	2.78	0.87	0.39	1.29	5.14	1.66	6.99
8.2	3.08	0.81	0.49	1.25	5.71	1.53	7.22
8.14	2.69	0.78	0.72	1.44	5.5	1.36	7.02
