"Lamium_maculatum_J__La_1"	"Lamium_maculatum_J__La_2"
135.26	125.32
135.42	125.18
135.47	125.88
136.28	125.99
137.23	126.42
135.68	126.59
135.54	125.55
133.83	124.74
135.26	125.84
136.92	126.32
136.21	125.35
134.95	124.92
131.81	122.28
130.77	119.71
129.63	119.02
130.61	120.35
130.33	120.53
131.34	121.55
131.78	121.89
131.62	121.45
131.14	120.95
132.43	121.77
130.79	121
131.66	122.34
130.65	120.57
132.39	122.86
132.01	123.33
132.8	123.48
132.88	123.52
132.14	123.16
132.01	123.12
131.15	122.43
131.09	122.18
131.15	122.69
130.38	121.52
129.83	120.41
131.79	120.63
129.34	120.07
129.44	119.98
129.89	119.33
129.14	117.89
129.51	118.3
129.06	118.08
128.07	118.83
129.59	118.76
128.28	119.33
129.02	119.19
129.03	118.13
129.74	118.91
128.37	117.64
128.79	117.85
129.28	118.14
128.11	117.93
128.69	118.43
129.02	118.57
128.56	117.66
128.99	117.64
130.14	119.05
130.87	119.98
129.53	118.79
129.49	117.94
130.08	118.41
128.5	117.89
130.98	119.61
129.22	118.95
129.41	117.72
127.8	117.34
127.21	117.72
129.38	118.35
128.49	118.17
128.94	117.92
127.62	117.69
129.99	118.67
128.61	118
129.2	118.67
127.31	117.7
128.6	117.75
127.57	117.46
129.13	118.08
129.61	117.46
127.83	116.73
129.18	117.6
128.27	117.93
128.28	116.82
128.91	117.95
129.21	118.83
128.83	118.65
130.84	118.63
130.18	118.7
131.21	121.76
129.52	120.13
129.75	120.94
133.93	123.75
135.07	126.19
137	128.29
137.89	128.52
139.44	129.76
140.45	129.02
139.62	127.9
138.72	127.42
137.56	126.93
137.81	126.66
139.87	127.61
141.48	131.03
144.84	133.33
152.16	141.49
154.8	143.08
151.43	140.25
144.38	134.48
137.93	129.12
135.31	125.55
134.4	125.91
134.69	125.6
134.91	124.73
136.12	125.99
134.63	123.92
132.46	121.42
129	119.82
128.66	118.65
129.46	118.66
128.11	116.42
128.43	117.92
127.47	116.78
128.06	116.64
128.27	116.84
128.97	117.17
126.33	115.52
125.25	114.24
126.96	116.77
124.88	114.05
126.55	115.27
125.42	114.21
124.26	113.59
125.82	112.98
124.29	114.36
125.62	113.13
127.25	115.11
126.52	113.66
123	110.81
124.82	114.21
124.61	112.95
124.34	113.99
125.43	112.98
124.42	112.35
126.04	113.66
127.32	115.65
124.63	112.2
124.1	113.03
123.98	112.82
124.52	113.07
126.79	114.31
125.95	113.29
126.38	114.03
125.62	112.82
124.08	112.37
126.5	113.14
124.07	112.07
126.58	114.28
127.4	114.1
126.87	112.88
127.54	114.64
124.7	113.07
127.07	114.18
127.66	115.24
124.07	113.71
125.12	112.65
125.72	113.12
123.72	112.88
125.34	112.77
123.57	111.03
123.92	112.75
124.81	112.06
126.72	113.93
126.16	112.72
124.36	111.15
124.5	111.07
124.69	112.46
