"Centaurea_nigra_K__P_1"	"Centaurea_nigra_K__P_2"	"Centaurea_nigra_K__P_3"	"Centaurea_nigra_K__P_4"	"Hypochaeris_radicata_K__P_1"	"Hypochaeris_radicata_K__P_2"	"Hypochaeris_radicata_K__P_3"	"Hypochaeris_radicata_K__P_4"	"Scabiosa_columbaria_K__P_1"	"Scabiosa_columbaria_K__P_2"	"Oenothera_erythrosepala_K__P_1"	"Oenothera_erythrosepala_K__P_2"	"Oenothera_erythrosepala_K__P_3"	"Origanum_vulgare_K__P_1"	"Origanum_vulgare_K__P_2"	"Hypericum_maculatum_K__P_1"	"Buddleja_davidii_K__P_1"	"Buddleja_davidii_K__P_2"	"Buddleja_davidii_K__P_3"	"Buddleja_davidii_K__P_4"	"Geranium_robertianum_K__P_1"	"Daucus_carota_K__P_1"	"Daucus_carota_K__P_2"	"Daucus_carota_K__P_3"	"Aegopodium_podagraria_K__P_1"	"Aegopodium_podagraria_K__P_2"
31.34	37.94	59.22	34.58	14.04	28.23	35.74	23.69	42.89	43.67	44.55	44.66	29.45	53.15	37.48	60.57	25.56	53.32	71.3	52.7	72.74	49.5	40.62	73.41	11.76	41.67
24.21	40.03	61.19	38.79	12.56	23.57	30.58	27.62	24.39	38.43	35.18	37.68	33.86	50.76	40.92	50.94	47.39	48.26	75.72	54.86	72.99	38.09	35.37	66.44	35.15	34.95
4.35	32.03	40.81	11.02	-10.81	-15.35	9.51	-2.34	14.71	12.67	17.37	31.16	9.92	48.61	12.05	47.06	25.2	34.5	51.86	32.37	45.99	28.53	32.09	49.94	2.1	37.6
23.73	36.93	34.19	18.14	6.9	-9.17	33.36	21.36	14.98	32.11	42	40.41	34.57	50.61	31.31	52.12	37.13	30.48	58.09	46.51	58.73	35.03	37.38	59.74	7.97	45.45
27.41	43.71	52.98	37.47	16.32	14.97	48.24	22.88	19.08	33.86	49.91	38.06	28.76	50.69	31.13	53.17	35.53	63.01	78.45	42.93	58.28	38.83	48.8	69.67	19.98	38.96
31.95	52.68	66.63	47.06	28.65	23.59	54	34.08	12.62	49.78	54.35	64.44	26.4	69.39	32.81	60.31	45.24	67.01	77.14	63.14	81.07	48.97	50.28	81.63	25.36	52.02
36.24	43.26	49.16	38.07	21.91	21.11	50.69	22.95	36.49	49.36	57.02	33.39	29.81	62.36	33.02	51.88	40.49	64.45	80.19	53.52	71.92	45.14	46.55	71.85	21.97	43.24
24.03	43.56	59.29	53.24	3.19	3.38	50.13	25.81	27.43	44.26	51.95	45.44	21.58	63.59	27.98	57.67	49.05	53.12	70.85	53.86	72.97	49.67	50.31	64.79	29.28	44.84
46.78	24.74	57.62	30.83	7.66	13.04	20.54	15.64	18.83	38.72	23.97	29.45	31.27	39.12	19.38	49.76	27.17	52.06	76.02	50.38	64.1	44.29	37.95	70.29	16.13	44.16
23.96	42.59	63.32	34.84	2.47	-5.95	33.52	17.16	2.28	40.43	28.94	31.13	23.48	43.62	33.81	65.87	36.43	57.85	80.86	45.13	63.66	42.72	37.28	65.5	-2.59	51.12
19.02	46.38	41.16	20.9	1.04	-6.29	36.28	11.28	-3.57	26.94	20.6	21.81	19.54	49.52	18.08	53.31	36.44	39.23	63.83	27.07	62.24	35.49	31.85	78.13	3.49	44.09
14.96	40.35	41.23	39.25	5.12	5.13	41.72	12.47	10.81	33.18	26.34	41.42	27.87	53.19	25.81	60.37	25.5	48.32	76.17	39.67	69.53	50.37	39.29	77.22	20.85	35.48
34.57	39.36	54.28	32.35	20.18	4.99	45.99	16.24	28.64	54.48	39.64	42.83	20.69	46.79	22.33	58.57	36.18	51.95	64.11	46.81	61.13	39.37	47.5	72.66	29.34	53.78
35.99	45.07	52.05	39.72	14.82	11.33	48.34	26.07	41.07	55.41	55.34	54.25	39.48	67.68	34.83	53.93	31.04	52.89	81.84	42.69	67.56	47.94	61.82	85.11	20.61	50.03
19.37	37.97	40.25	32.95	11.69	12.34	35.77	14.46	28.06	36.7	33.77	29.16	33.86	35.42	23.7	48.33	32.31	53.02	53.78	41.97	67.6	39.57	39.04	58.84	4.33	47.03
29.52	48.8	58.88	51.21	19.56	25.74	37.98	31.19	28.41	41.19	52.52	45.52	44.48	44.87	40	61.39	42.73	65.3	81.19	59.95	65.56	53.27	53.47	80.71	25.36	42.19
13.69	20.86	49.26	29.9	-1.56	-3.25	42.3	-0.24	0.57	37.5	33.25	32.61	13.58	34.94	16.87	33.32	28.37	50.13	62.93	43.42	55.64	33.9	35.93	54.51	7.07	29.39
22.86	46.23	36.54	30.36	3.12	11.08	34.8	3.2	25.82	37.53	45.97	33.56	37.38	51.87	21.84	44.61	42.21	53	51.24	52.18	68.58	36.39	48.86	59.03	15.72	32.91
15.4	35.21	40.41	41.01	1.18	2.6	43.38	23.18	22.77	31.58	35.25	47.96	24.34	49.78	26.91	48.47	36.52	58.06	64	41.95	67.48	30.65	39.08	67.12	20.47	33.79
18.89	37.35	43.18	34.1	7.22	9.38	46.05	26.56	30.62	28.7	39.06	42.8	28.09	55.13	22	53.45	39.3	56.13	71.35	53.84	76.22	50.85	42.51	69.25	19.94	52.86
22.88	34.06	49.54	39.88	13.05	6.86	31.97	12.64	14.44	35.71	35.45	25.19	24.02	48.51	17.97	49.38	36.38	53.43	54.07	36.79	69.32	43.67	35.95	69.52	4.78	50.9
30.78	56.67	50.82	29.93	7.3	19.58	46.96	26.26	34	45.31	37.2	46.61	33.18	51.84	34.48	58.64	39.04	69	78.99	55.35	75.35	62.05	48.21	70.17	33.49	36.42
27.08	36.07	35.74	25.83	9.12	8.74	33.83	16.07	13.84	30.7	57.01	39.01	32.23	65.54	29.6	64.54	17.45	56.26	70.55	49.23	52.27	39.96	39.9	67.11	22.23	40.42
14.1	37.3	41.29	35.63	6.88	-2.35	43.23	23.95	19.52	31.79	34.53	33.15	21.28	55.8	24.51	54.68	28.43	42.14	71.99	39.1	66.7	31.71	51.54	64.38	12.36	40.83
16.18	52.81	36.32	27.35	9.16	-5.53	30.6	16.59	20.23	40.77	34.54	36.86	28.03	55.39	29.09	48.49	26.23	58.49	70.96	36.92	58.03	43.07	44.12	55.37	11.34	41.47
33.07	40.96	50.7	32.95	13.52	13	39.33	21.75	28.22	37.48	38.11	36.01	33.28	53.15	48.23	49.59	25.68	53.13	55.14	41.28	60.54	38.93	38.5	66.07	13.49	47.3
30.89	42.01	49.97	35.57	15.23	25.88	48.5	30.84	35.98	37.29	38.77	39.06	29.51	70.63	24.02	46.46	24.83	56.98	77.76	53.39	63.88	51.47	55.41	61.35	16.11	49.53
20.5	36.15	40.31	22.7	7.09	8.65	37.28	24.71	29.24	36.78	37.27	39.06	31.47	42.12	24.01	51.25	40.64	52	63.27	55.21	54.47	33.69	36.19	42.57	17.28	38.3
25.2	50.34	41.63	30.12	20.62	-1.95	32.94	15.29	16.1	38.21	51.97	32.1	31.93	42.42	25.65	46.55	26.07	49.65	62.68	49.1	51.75	36.11	42.71	45.1	24.38	49.31
